K,n_K_ratio,n,N_K_ratio,M,rho,model,R2,MSE
200,0.01,2,10,2000,0.01,linreg,0.9997764650803679,1.1256072211113324
200,0.01,2,10,2000,0.01,pcr,0.014652095127651976,4961.7067385102655
200,0.01,2,10,2000,0.01,pls,0.9633108904757406,184.74754049438258
200,0.1,20,10,2000,0.01,linreg,0.9997764650803679,1.1256072211113324
200,0.1,20,10,2000,0.01,pcr,0.0739867229296437,4662.927981143059
200,0.1,20,10,2000,0.01,pls,0.9997764650803908,1.1256072209959194
200,0.2,40,10,2000,0.01,linreg,0.9997764650803679,1.1256072211113324
200,0.2,40,10,2000,0.01,pcr,0.15489618061944377,4255.509444559577
200,0.2,40,10,2000,0.01,pls,0.9997764650803679,1.1256072211113455
200,0.5,100,10,2000,0.01,linreg,0.9997764650803679,1.1256072211113324
200,0.5,100,10,2000,0.01,pcr,0.4270267522045945,2885.1994412479894
200,0.5,100,10,2000,0.01,pls,0.9997760850591128,1.127520813267737
200,0.8,160,10,2000,0.01,linreg,0.9997764650803679,1.1256072211113324
200,0.8,160,10,2000,0.01,pcr,0.7746281935844311,1134.8568409522584
200,0.8,160,10,2000,0.01,pls,0.999775765657003,1.1291291584952377
200,0.01,2,5,1000,0.01,linreg,0.9997517573792346,1.2499100654892608
200,0.01,2,5,1000,0.01,pcr,0.004772074574518337,5011.006561282148
200,0.01,2,5,1000,0.01,pls,0.9386441817911623,308.9286381166174
200,0.1,20,5,1000,0.01,linreg,0.9997517573792346,1.2499100654892608
200,0.1,20,5,1000,0.01,pcr,0.08114516652843928,4626.465437475873
200,0.1,20,5,1000,0.01,pls,0.999751757345357,1.2499102360636491
200,0.2,40,5,1000,0.01,linreg,0.9997517573792346,1.2499100654892608
200,0.2,40,5,1000,0.01,pcr,0.1741267688432122,4158.29989732721
200,0.2,40,5,1000,0.01,pls,0.9997517573792346,1.2499100654892839
200,0.5,100,5,1000,0.01,linreg,0.9997517573792346,1.2499100654892608
200,0.5,100,5,1000,0.01,pcr,0.4247399430439709,2896.454014408625
200,0.5,100,5,1000,0.01,pls,0.9997496028876851,1.260758003951393
200,0.8,160,5,1000,0.01,linreg,0.9997517573792346,1.2499100654892608
200,0.8,160,5,1000,0.01,pcr,0.7512433515321012,1252.4982125097451
200,0.8,160,5,1000,0.01,pls,0.999752035998667,1.2485072071404293
200,0.01,2,3,600,0.01,linreg,0.9997167028438619,1.4253997722420417
200,0.01,2,3,600,0.01,pcr,0.007083213041174985,4995.826224590094
200,0.01,2,3,600,0.01,pls,0.8762030810516527,622.8798851310537
