train_sample_size,N,n_components,ro,linreg,pcr,pls
5000.0,500.0,500.0,0.01,0.9999963813114803,0.9999963813114803,0.9999962246818556
5000.0,500.0,250.0,0.01,0.9999963813114803,0.47992626008808603,0.999996350552252
5000.0,500.0,166.0,0.01,0.9999963813114803,0.3000890735350341,0.9999963743607624
5000.0,500.0,100.0,0.01,0.9999963813114803,0.17101273156339036,0.9999963816121701
5000.0,500.0,50.0,0.01,0.9999963813114803,0.09694844015428528,0.9999963813114803
5000.0,500.0,5.0,0.01,0.9999963813114803,0.015069295790322235,0.9999482598311921
5000.0,500.0,2.0,0.01,0.9999963813114803,0.0026230491121452815,0.9409779205745258
2500.0,500.0,500.0,0.01,0.9999959950378843,0.9999959950378843,0.9999957088475688
2500.0,500.0,250.0,0.01,0.9999959950378843,0.5074137702628081,0.9999959124702547
2500.0,500.0,166.0,0.01,0.9999959950378843,0.30208102769176925,0.9999959679032699
2500.0,500.0,100.0,0.01,0.9999959950378843,0.1763898630866415,0.9999959782789346
2500.0,500.0,50.0,0.01,0.9999959950378843,0.09297889251887725,0.9999959950378843
2500.0,500.0,5.0,0.01,0.9999959950378843,0.003543596329832366,0.9989024640377548
2500.0,500.0,2.0,0.01,0.9999959950378843,0.0008252630292168162,0.900360456254809
1500.0,500.0,500.0,0.01,0.9999951632035576,0.9999951632035576,0.9999947984814348
1500.0,500.0,250.0,0.01,0.9999951632035576,0.4819870188258122,0.9999951090899352
1500.0,500.0,166.0,0.01,0.9999951632035576,0.29452126399632417,0.9999951247171545
1500.0,500.0,100.0,0.01,0.9999951632035576,0.179984289333603,0.9999951632035577
1500.0,500.0,50.0,0.01,0.9999951632035576,0.07534642581221118,0.9999951632035575
1500.0,500.0,5.0,0.01,0.9999951632035576,0.008404987333553993,0.9931947685289735
1500.0,500.0,2.0,0.01,0.9999951632035576,0.0031825584035826138,0.9184742072929855
1000.0,500.0,500.0,0.01,0.9999934733625533,0.9999934733625533,0.999992984174744
1000.0,500.0,250.0,0.01,0.9999934733625533,0.4969699842344969,0.999993411765922
1000.0,500.0,166.0,0.01,0.9999934733625533,0.33471198176987427,0.999993473354966
1000.0,500.0,100.0,0.01,0.9999934733625533,0.16836586772520157,0.9999934733625533
1000.0,500.0,50.0,0.01,0.9999934733625533,0.08033341901161006,0.9999934733638642
1000.0,500.0,5.0,0.01,0.9999934733625533,0.00523227304489815,0.9606064285552466
1000.0,500.0,2.0,0.01,0.9999934733625533,0.0002872213791742517,0.8325741291726266
500.0,500.0,500.0,0.01,0.9960061560048111,0.9983660442161622,0.9982378636084418
500.0,500.0,250.0,0.01,0.9960061560048111,0.5047083158308248,0.9937785789016204
500.0,500.0,166.0,0.01,0.9960061560048111,0.33446519249841233,0.9925724491112017
500.0,500.0,100.0,0.01,0.9960061560048111,0.1821939530183183,0.9895527983673311
500.0,500.0,50.0,0.01,0.9960061560048111,0.07768772292701087,0.9766241113343532
500.0,500.0,5.0,0.01,0.9960061560048111,0.005967789230542753,0.7913847095617877
500.0,500.0,2.0,0.01,0.9960061560048111,0.003165084505258542,0.5822751696457162
5000.0,500.0,500.0,0.1,0.9999966111993531,0.9999966111993531,0.9999964592516606
5000.0,500.0,250.0,0.1,0.9999966111993531,0.5533985887212509,0.9999966092026763
5000.0,500.0,166.0,0.1,0.9999966111993531,0.39366262283494136,0.9999966078641337
5000.0,500.0,100.0,0.1,0.9999966111993531,0.24927952421280908,0.9999966141476323
5000.0,500.0,50.0,0.1,0.9999966111993531,0.14460544653714247,0.9999966111993531
5000.0,500.0,5.0,0.1,0.9999966111993531,0.09153433872498773,0.9999093225605675
5000.0,500.0,2.0,0.1,0.9999966111993531,0.08771311027636064,0.9222827595715821
2500.0,500.0,500.0,0.1,0.999996221708894,0.999996221708894,0.9999958968195293
2500.0,500.0,250.0,0.1,0.999996221708894,0.5371491699805698,0.9999961675420682
2500.0,500.0,166.0,0.1,0.999996221708894,0.3681027685702061,0.9999962239131381
2500.0,500.0,100.0,0.1,0.999996221708894,0.2771979935991432,0.999996223811295
2500.0,500.0,50.0,0.1,0.999996221708894,0.16182018779395557,0.999996221708894
2500.0,500.0,5.0,0.1,0.999996221708894,0.0872496884539461,0.9985821710665304
2500.0,500.0,2.0,0.1,0.999996221708894,0.08540128909472344,0.8498734196358846
1500.0,500.0,500.0,0.1,0.9999954410127488,0.9999954410127488,0.9999951172919517
1500.0,500.0,250.0,0.1,0.9999954410127488,0.5366969501240431,0.9999954547078296
1500.0,500.0,166.0,0.1,0.9999954410127488,0.3796810118201438,0.9999954453844043
1500.0,500.0,100.0,0.1,0.9999954410127488,0.27558245469395837,0.9999954410127487
1500.0,500.0,50.0,0.1,0.9999954410127488,0.18382467858920792,0.9999954410127488
1500.0,500.0,5.0,0.1,0.9999954410127488,0.08654420816408281,0.9907924095621767
1500.0,500.0,2.0,0.1,0.9999954410127488,0.08529058834471137,0.7628554323933986
1000.0,500.0,500.0,0.1,0.9999936689143858,0.9999936689143858,0.9999933528916588
1000.0,500.0,250.0,0.1,0.9999936689143858,0.5443937253778725,0.9999936331978394
1000.0,500.0,166.0,0.1,0.9999936689143858,0.42508337498010884,0.9999936689135266
1000.0,500.0,100.0,0.1,0.9999936689143858,0.2804359541077832,0.9999936689143858
1000.0,500.0,50.0,0.1,0.9999936689143858,0.18350127073981848,0.9999936689126205
1000.0,500.0,5.0,0.1,0.9999936689143858,0.0894826275813152,0.9644139314221717
1000.0,500.0,2.0,0.1,0.9999936689143858,0.08495408042728336,0.6920588962110128
500.0,500.0,500.0,0.1,0.9993935625822274,0.9993869238600905,0.9994037555860961
500.0,500.0,250.0,0.1,0.9993935625822274,0.554997631199099,0.9988371362960023
500.0,500.0,166.0,0.1,0.9993935625822274,0.37652999839303936,0.9972711041803569
500.0,500.0,100.0,0.1,0.9993935625822274,0.23579957299431653,0.991528411779426
500.0,500.0,50.0,0.1,0.9993935625822274,0.1433188791421961,0.985290291262528
500.0,500.0,5.0,0.1,0.9993935625822274,0.091724988492485,0.8221389556750485
500.0,500.0,2.0,0.1,0.9993935625822274,0.08642945581210348,0.5538568574169578
5000.0,500.0,500.0,0.2,0.9999963070973665,0.9999963070973665,0.9999960892417452
5000.0,500.0,250.0,0.2,0.9999963070973665,0.5194388231806513,0.9999962606187937
5000.0,500.0,166.0,0.2,0.9999963070973665,0.28505757193399106,0.9999962897419311
5000.0,500.0,100.0,0.2,0.9999963070973665,0.18829111661011189,0.9999963000462544
5000.0,500.0,50.0,0.2,0.9999963070973665,0.1076190073279849,0.9999963070973665
5000.0,500.0,5.0,0.2,0.9999963070973665,0.02360933211902483,0.999887706697947
5000.0,500.0,2.0,0.2,0.9999963070973665,0.013622155020749926,0.9060274740355554
2500.0,500.0,500.0,0.2,0.9999958897118594,0.9999958897118594,0.9999956051363157
2500.0,500.0,250.0,0.2,0.9999958897118594,0.5186797208525179,0.9999958383220781
2500.0,500.0,166.0,0.2,0.9999958897118594,0.29919491027867406,0.9999958881690896
2500.0,500.0,100.0,0.2,0.9999958897118594,0.1977031314358625,0.9999958879204398
2500.0,500.0,50.0,0.2,0.9999958897118594,0.11681577427948764,0.9999958897118594
2500.0,500.0,5.0,0.2,0.9999958897118594,0.017418633895322944,0.9986868015888463
2500.0,500.0,2.0,0.2,0.9999958897118594,0.0137572725126347,0.8393335217382503
1500.0,500.0,500.0,0.2,0.9999951698046831,0.9999951698046831,0.9999948482986779
1500.0,500.0,250.0,0.2,0.9999951698046831,0.49618717365609166,0.999995147753514
1500.0,500.0,166.0,0.2,0.9999951698046831,0.3471796777627233,0.9999951566025197
1500.0,500.0,100.0,0.2,0.9999951698046831,0.20868019966337736,0.999995169804683
1500.0,500.0,50.0,0.2,0.9999951698046831,0.11124745142685277,0.999995169804683
1500.0,500.0,5.0,0.2,0.9999951698046831,0.02155752955287893,0.9893804319276858
1500.0,500.0,2.0,0.2,0.9999951698046831,0.01633770665391132,0.7319658335878938
1000.0,500.0,500.0,0.2,0.999993179612334,0.999993179612334,0.9999926816491909
1000.0,500.0,250.0,0.2,0.999993179612334,0.47513069638680605,0.9999931103361946
1000.0,500.0,166.0,0.2,0.999993179612334,0.31949853371538806,0.9999931796091688
1000.0,500.0,100.0,0.2,0.999993179612334,0.19471041578007064,0.999993179612334
1000.0,500.0,50.0,0.2,0.999993179612334,0.1029141690959563,0.999993179602092
1000.0,500.0,5.0,0.2,0.999993179612334,0.0179308837820209,0.9534206936180781
1000.0,500.0,2.0,0.2,0.999993179612334,0.014056064307407024,0.6401042542033283
500.0,500.0,500.0,0.2,0.9934448351676755,0.9921296621590776,0.8428353956908432
500.0,500.0,250.0,0.2,0.9934448351676755,0.4683598000996074,0.9976156828061541
500.0,500.0,166.0,0.2,0.9934448351676755,0.3256800055292788,0.9948106697750146
500.0,500.0,100.0,0.2,0.9934448351676755,0.1784839642565761,0.9873569632376564
500.0,500.0,50.0,0.2,0.9934448351676755,0.11273460959462411,0.9619038236889407
500.0,500.0,5.0,0.2,0.9934448351676755,0.017609006651744807,0.7404801506470502
500.0,500.0,2.0,0.2,0.9934448351676755,0.014531362271684278,0.4591988373200797
5000.0,500.0,500.0,0.5,0.9999950837678941,0.9999950837678941,0.9999948859930534
5000.0,500.0,250.0,0.5,0.9999950837678941,0.5718921176094675,0.999995049683433
