M,N,n,rho,model,R2,MSE
5000,500,5,0.01,linreg,0.9974950166056753,1.1019165087096572
5000,500,5,0.01,pcr,0.024885182913280457,428.94300907128854
5000,500,5,0.01,pls,0.9974415108902214,1.1254531242826713
5000,500,50,0.01,linreg,0.9974950166056753,1.1019165087096572
5000,500,50,0.01,pcr,0.09584902596348399,397.7267421867808
5000,500,50,0.01,pls,0.9974950166056753,1.1019165087096565
5000,500,125,0.01,linreg,0.9974950166056753,1.1019165087096572
5000,500,125,0.01,pcr,0.2672691733774438,322.3207771058004
5000,500,125,0.01,pls,0.9974950166108648,1.1019165064268486
5000,500,250,0.01,linreg,0.9974950166056753,1.1019165087096572
5000,500,250,0.01,pcr,0.5093763392304911,215.82031744814356
5000,500,250,0.01,pls,0.9974926520834252,1.1029566378013123
2500,500,5,0.01,linreg,0.9971293388813288,1.2642765903959443
2500,500,5,0.01,pcr,0.0038377303481667013,438.72285361898633
2500,500,5,0.01,pls,0.9962915593442396,1.6332456232662973
2500,500,50,0.01,linreg,0.9971293388813288,1.2642765903959443
2500,500,50,0.01,pcr,0.11180843827842624,391.1711458967279
2500,500,50,0.01,pls,0.9971293388813288,1.2642765903959403
2500,500,125,0.01,linreg,0.9971293388813288,1.2642765903959443
2500,500,125,0.01,pcr,0.22247400056852729,342.4325891732014
2500,500,125,0.01,pls,0.9971348056956966,1.2618689340605116
2500,500,250,0.01,linreg,0.9971293388813288,1.2642765903959443
2500,500,250,0.01,pcr,0.48316196428554303,227.62221055283356
2500,500,250,0.01,pls,0.9971216458692634,1.2676646932272604
1500,500,5,0.01,linreg,0.9965142338473891,1.5340472706016262
1500,500,5,0.01,pcr,0.0069743509172390805,437.01964501314245
1500,500,5,0.01,pls,0.9896542413883322,4.553054354677495
1500,500,50,0.01,linreg,0.9965142338473891,1.5340472706016262
1500,500,50,0.01,pcr,0.11634685894363228,388.88600951637403
1500,500,50,0.01,pls,0.9965142338473888,1.5340472706018073
1500,500,125,0.01,linreg,0.9965142338473891,1.5340472706016262
1500,500,125,0.01,pcr,0.2450156939808501,332.26027314777286
1500,500,125,0.01,pls,0.9965142342049962,1.534047113222702
1500,500,250,0.01,linreg,0.9965142338473891,1.5340472706016262
1500,500,250,0.01,pcr,0.5050259827122829,217.83261039189844
1500,500,250,0.01,pls,0.9964760498008941,1.550851648675699
1000,500,5,0.01,linreg,0.9951025368712291,2.1552747082251837
1000,500,5,0.01,pcr,0.007470011075485283,436.79242212506443
1000,500,5,0.01,pls,0.9674703862410408,14.315626674378764
1000,500,50,0.01,linreg,0.9951025368712291,2.1552747082251837
1000,500,50,0.01,pcr,0.10690709397989107,393.03216825310864
1000,500,50,0.01,pls,0.9951025371631748,2.1552745797458055
1000,500,125,0.01,linreg,0.9951025368712291,2.1552747082251837
1000,500,125,0.01,pcr,0.24895914254690388,330.51792782330966
1000,500,125,0.01,pls,0.995102536871229,2.155274708225235
1000,500,250,0.01,linreg,0.9951025368712291,2.1552747082251837
1000,500,250,0.01,pcr,0.5342106068562034,204.98451381998103
1000,500,250,0.01,pls,0.9951066111389849,2.15348170519122
500,500,5,0.01,linreg,-15.22753190325654,7143.492583865375
500,500,5,0.01,pcr,0.01784406332470978,432.3530954470847
500,500,5,0.01,pls,0.8073651226527622,84.79945230905118
500,500,50,0.01,linreg,-15.22753190325654,7143.492583865375
500,500,50,0.01,pcr,0.1110997815470327,391.3011637364765
500,500,50,0.01,pls,0.9486774641322253,22.59260105247672
500,500,125,0.01,linreg,-15.22753190325654,7143.492583865375
